country,ccode,region,ageBucket,arrival,familyStatus,gender,gpi,hdi,count
Mali,mli,Western Africa,0-8,3-2015,F,F,2.31,0.418,1
Mali,mli,Western Africa,0-8,11-2017,F,F,2.596,0.427,1
Mali,mli,Western Africa,0-8,7-2017,F,M,2.596,0.427,1
Mali,mli,Western Africa,0-8,7-2017,F,F,2.596,0.427,1
Mali,mli,Western Africa,0-8,9-2018,S,M,2.686,0.427,1
Mali,mli,Western Africa,0-8,2-2018,F,F,2.686,0.427,1
Mali,mli,Western Africa,50-69,7-2017,F,M,2.596,0.427,1
Mali,mli,Western Africa,50-69,7-2017,F,F,2.596,0.427,1
Mali,mli,Western Africa,30-49,4-2018,S,F,2.686,0.427,1
Mali,mli,Western Africa,30-49,5-2018,S,F,2.686,0.427,1
Mali,mli,Western Africa,30-49,6-2018,F,M,2.686,0.427,1
Mali,mli,Western Africa,30-49,6-2018,F,F,2.686,0.427,1
Mali,mli,Western Africa,30-49,2-2018,F,M,2.686,0.427,1
Mali,mli,Western Africa,30-49,1-2016,S,F,2.489,0.421,1
Mali,mli,Western Africa,30-49,4-2015,S,M,2.31,0.418,1
Mali,mli,Western Africa,30-49,9-2015,S,F,2.31,0.418,1
Mali,mli,Western Africa,30-49,7-2017,S,M,2.596,0.427,1
Mali,mli,Western Africa,30-49,11-2017,F,M,2.596,0.427,1
Mali,mli,Western Africa,30-49,11-2017,F,F,2.596,0.427,1
South Africa,zaf,Southern Africa,9-17,12-2015,S,M,2.376,0.692,1
South Africa,zaf,Southern Africa,9-17,9-2018,F,F,2.328,0.699,1
South Africa,zaf,Southern Africa,9-17,6-2016,F,M,2.316,0.696,2
South Africa,zaf,Southern Africa,9-17,6-2016,F,F,2.316,0.696,3
South Africa,zaf,Southern Africa,9-17,5-2018,F,F,2.328,0.699,1
South Africa,zaf,Southern Africa,9-17,5-2015,S,M,2.376,0.692,1
South Africa,zaf,Southern Africa,9-17,5-2015,S,F,2.376,0.692,1
South Africa,zaf,Southern Africa,9-17,2-2016,S,M,2.316,0.696,1
South Africa,zaf,Southern Africa,9-17,12-2016,S,M,2.316,0.696,1
South Africa,zaf,Southern Africa,9-17,1-2018,S,M,2.328,0.699,1
South Africa,zaf,Southern Africa,9-17,8-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,9-17,11-2015,F,M,2.376,0.692,1
South Africa,zaf,Southern Africa,18-29,6-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,18-29,10-2018,S,F,2.328,0.699,1
South Africa,zaf,Southern Africa,18-29,4-2018,S,M,2.328,0.699,1
South Africa,zaf,Southern Africa,18-29,5-2018,F,M,2.328,0.699,1
South Africa,zaf,Southern Africa,18-29,5-2018,F,F,2.328,0.699,1
South Africa,zaf,Southern Africa,18-29,10-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,18-29,1-2015,F,F,2.376,0.692,1
South Africa,zaf,Southern Africa,18-29,8-2015,S,M,2.376,0.692,1
South Africa,zaf,Southern Africa,18-29,9-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,18-29,5-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,18-29,8-2016,S,M,2.316,0.696,2
South Africa,zaf,Southern Africa,0-8,4-2015,F,M,2.376,0.692,1
South Africa,zaf,Southern Africa,0-8,6-2016,F,F,2.316,0.696,1
South Africa,zaf,Southern Africa,0-8,5-2018,F,M,2.328,0.699,2
South Africa,zaf,Southern Africa,0-8,5-2018,F,F,2.328,0.699,1
South Africa,zaf,Southern Africa,0-8,6-2018,S,M,2.328,0.699,1
South Africa,zaf,Southern Africa,0-8,11-2015,F,M,2.376,0.692,3
South Africa,zaf,Southern Africa,0-8,11-2015,F,F,2.376,0.692,3
South Africa,zaf,Southern Africa,30-49,9-2018,S,M,2.328,0.699,1
South Africa,zaf,Southern Africa,30-49,6-2016,F,M,2.316,0.696,1
South Africa,zaf,Southern Africa,30-49,6-2016,F,F,2.316,0.696,1
South Africa,zaf,Southern Africa,30-49,1-2015,F,M,2.376,0.692,3
South Africa,zaf,Southern Africa,30-49,1-2015,F,F,2.376,0.692,1
South Africa,zaf,Southern Africa,30-49,12-2016,S,F,2.316,0.696,1
South Africa,zaf,Southern Africa,30-49,3-2015,S,M,2.376,0.692,1
South Africa,zaf,Southern Africa,30-49,7-2015,S,F,2.376,0.692,1
South Africa,zaf,Southern Africa,30-49,4-2015,F,M,2.376,0.692,1
South Africa,zaf,Southern Africa,30-49,4-2015,F,F,2.376,0.692,1
South Africa,zaf,Southern Africa,30-49,11-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,30-49,5-2017,S,M,2.3243,0.699,1
South Africa,zaf,Southern Africa,30-49,11-2015,F,M,2.376,0.692,1
South Africa,zaf,Southern Africa,30-49,11-2015,F,F,2.376,0.692,1
South Africa,zaf,Southern Africa,50-69,9-2018,F,M,2.328,0.699,1
Libya,lby,Northern Africa,9-17,6-2016,S,M,3.2,0.693,1
Libya,lby,Northern Africa,9-17,12-2016,S,M,3.2,0.693,2
Libya,lby,Northern Africa,9-17,7-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,9-17,7-2018,S,F,3.262,0.706,1
Libya,lby,Northern Africa,9-17,1-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,6-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,6-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,2-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,9-17,7-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,8-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,9-17,8-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,9-17,8-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,7-2016,S,F,3.2,0.693,1
Libya,lby,Northern Africa,9-17,6-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,9-17,12-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,9-17,12-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,5-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,9-17,1-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,18-29,2-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,2-2017,F,F,3.328,0.706,1
Libya,lby,Northern Africa,18-29,2-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,4-2018,S,F,3.262,0.706,1
Libya,lby,Northern Africa,18-29,5-2016,S,M,3.2,0.693,1
Libya,lby,Northern Africa,18-29,1-2015,S,F,2.819,0.694,1
Libya,lby,Northern Africa,18-29,10-2015,S,M,2.819,0.694,1
Libya,lby,Northern Africa,18-29,7-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,10-2016,S,F,3.2,0.693,1
Libya,lby,Northern Africa,18-29,1-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,9-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,10-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,18-29,3-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,18-29,3-2018,S,F,3.262,0.706,1
Libya,lby,Northern Africa,18-29,8-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,7-2016,S,M,3.2,0.693,1
Libya,lby,Northern Africa,18-29,7-2016,S,F,3.2,0.693,1
Libya,lby,Northern Africa,18-29,6-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,18-29,12-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,12-2017,F,F,3.328,0.706,1
Libya,lby,Northern Africa,18-29,12-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,18-29,12-2017,S,F,3.328,0.706,1
Libya,lby,Northern Africa,18-29,12-2018,S,F,3.262,0.706,1
Libya,lby,Northern Africa,18-29,6-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,0-8,3-2016,F,M,3.2,0.693,2
Libya,lby,Northern Africa,0-8,3-2016,F,F,3.2,0.693,1
Libya,lby,Northern Africa,0-8,10-2017,S,F,3.328,0.706,1
Libya,lby,Northern Africa,0-8,6-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,0-8,2-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,0-8,11-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,0-8,1-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,0-8,8-2015,S,M,2.819,0.694,1
Libya,lby,Northern Africa,0-8,5-2017,F,M,3.328,0.706,4
Libya,lby,Northern Africa,0-8,8-2018,F,M,3.262,0.706,2
Libya,lby,Northern Africa,50-69,9-2016,F,M,3.2,0.693,2
Libya,lby,Northern Africa,50-69,9-2016,F,F,3.2,0.693,2
Libya,lby,Northern Africa,50-69,9-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,6-2017,F,F,3.328,0.706,1
Libya,lby,Northern Africa,30-49,9-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,30-49,8-2018,F,M,3.262,0.706,2
Libya,lby,Northern Africa,30-49,8-2018,F,F,3.262,0.706,2
Libya,lby,Northern Africa,30-49,2-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,9-2016,F,M,3.2,0.693,1
Libya,lby,Northern Africa,30-49,9-2016,F,F,3.2,0.693,1
Libya,lby,Northern Africa,30-49,7-2016,S,F,3.2,0.693,1
Libya,lby,Northern Africa,30-49,6-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,2-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,2-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,30-49,8-2015,S,M,2.819,0.694,2
Libya,lby,Northern Africa,30-49,11-2015,S,F,2.819,0.694,1
Libya,lby,Northern Africa,30-49,6-2015,S,M,2.819,0.694,1
Libya,lby,Northern Africa,30-49,4-2018,F,M,3.262,0.706,2
Libya,lby,Northern Africa,30-49,4-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,30-49,10-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,7-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,7-2017,F,F,3.328,0.706,2
Libya,lby,Northern Africa,30-49,9-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,3-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,3-2018,F,F,3.262,0.706,1
Libya,lby,Northern Africa,30-49,3-2018,S,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,8-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,5-2018,F,M,3.262,0.706,1
Libya,lby,Northern Africa,30-49,10-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,10-2017,F,F,3.328,0.706,1
Libya,lby,Northern Africa,30-49,3-2017,S,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,3-2016,F,F,3.2,0.693,1
Libya,lby,Northern Africa,30-49,3-2016,S,M,3.2,0.693,1
Libya,lby,Northern Africa,30-49,5-2017,F,M,3.328,0.706,1
Libya,lby,Northern Africa,30-49,5-2017,F,F,3.328,0.706,1
Libya,lby,Northern Africa,30-49,5-2017,S,M,3.328,0.706,2
Tanzania,tza,Eastern Africa,9-17,11-2017,S,M,1.876,0.538,1
Tanzania,tza,Eastern Africa,9-17,12-2015,S,M,1.903,0.528,1
Tanzania,tza,Eastern Africa,9-17,1-2015,F,M,1.903,0.528,2
Tanzania,tza,Eastern Africa,9-17,1-2015,F,F,1.903,0.528,1
Tanzania,tza,Eastern Africa,9-17,9-2016,S,M,1.899,0.533,1
Tanzania,tza,Eastern Africa,9-17,8-2018,S,M,1.837,0.538,1
Tanzania,tza,Eastern Africa,18-29,9-2018,S,F,1.837,0.538,1
Tanzania,tza,Eastern Africa,18-29,1-2015,F,M,1.903,0.528,1
Tanzania,tza,Eastern Africa,18-29,2-2016,S,F,1.899,0.533,1
Tanzania,tza,Eastern Africa,18-29,5-2015,S,M,1.903,0.528,1
Tanzania,tza,Eastern Africa,18-29,3-2017,S,M,1.876,0.538,1
Tanzania,tza,Eastern Africa,18-29,4-2016,S,F,1.899,0.533,1
Tanzania,tza,Eastern Africa,18-29,10-2018,S,M,1.837,0.538,1
Tanzania,tza,Eastern Africa,18-29,3-2016,S,M,1.899,0.533,1
Tanzania,tza,Eastern Africa,0-8,1-2015,F,F,1.903,0.528,1
Tanzania,tza,Eastern Africa,50-69,7-2018,F,F,1.837,0.538,1
Tanzania,tza,Eastern Africa,50-69,5-2018,F,M,1.837,0.538,1
Tanzania,tza,Eastern Africa,50-69,5-2018,F,F,1.837,0.538,1
Tanzania,tza,Eastern Africa,30-49,1-2015,S,M,1.903,0.528,1
Tanzania,tza,Eastern Africa,30-49,9-2016,F,F,1.899,0.533,1
Tanzania,tza,Eastern Africa,30-49,5-2018,F,M,1.837,0.538,1
Tanzania,tza,Eastern Africa,30-49,5-2018,F,F,1.837,0.538,1
Tanzania,tza,Eastern Africa,30-49,4-2017,S,M,1.876,0.538,1
Lebanon,lbn,Western Asia,18-29,5-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,5-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,6-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,6-2017,S,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,6-2017,S,F,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,12-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,10-2018,S,M,2.778,0.757,3
Lebanon,lbn,Western Asia,18-29,10-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,8-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,8-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,8-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,9-2016,S,M,2.752,0.753,3
Lebanon,lbn,Western Asia,18-29,7-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,7-2016,S,F,2.752,0.753,2
Lebanon,lbn,Western Asia,18-29,4-2017,S,M,2.782,0.757,3
Lebanon,lbn,Western Asia,18-29,8-2015,F,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,2-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,1-2017,F,M,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,1-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,9-2017,S,M,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,3-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,8-2017,S,M,2.782,0.757,3
Lebanon,lbn,Western Asia,18-29,8-2017,S,F,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,12-2018,S,M,2.778,0.757,2
Lebanon,lbn,Western Asia,18-29,12-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,10-2017,F,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,10-2017,F,F,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,10-2017,S,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,12-2017,F,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,12-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,12-2017,S,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,6-2015,F,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,6-2015,S,M,2.623,0.752,4
Lebanon,lbn,Western Asia,18-29,6-2015,S,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,4-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,4-2015,S,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,5-2017,S,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,10-2015,F,M,2.623,0.752,2
Lebanon,lbn,Western Asia,18-29,10-2015,F,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,6-2016,S,M,2.752,0.753,3
Lebanon,lbn,Western Asia,18-29,7-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,4-2016,F,M,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,4-2016,S,M,2.752,0.753,2
Lebanon,lbn,Western Asia,18-29,4-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,11-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,2-2017,S,M,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,2-2017,S,F,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,6-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,6-2018,S,M,2.778,0.757,2
Lebanon,lbn,Western Asia,18-29,6-2018,S,F,2.778,0.757,2
Lebanon,lbn,Western Asia,18-29,2-2018,F,F,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,1-2016,S,M,2.752,0.753,2
Lebanon,lbn,Western Asia,18-29,11-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,11-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,11-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,18-29,11-2017,F,M,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,11-2017,S,M,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,2-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,2-2015,S,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,4-2018,S,M,2.778,0.757,2
Lebanon,lbn,Western Asia,18-29,12-2016,F,M,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,12-2016,F,F,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,12-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,12-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,11-2016,S,M,2.752,0.753,3
Lebanon,lbn,Western Asia,18-29,5-2015,F,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,5-2015,S,M,2.623,0.752,4
Lebanon,lbn,Western Asia,18-29,10-2016,S,M,2.752,0.753,4
Lebanon,lbn,Western Asia,18-29,10-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,18-29,7-2017,S,M,2.782,0.757,3
Lebanon,lbn,Western Asia,18-29,7-2017,S,F,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,8-2016,S,M,2.752,0.753,2
Lebanon,lbn,Western Asia,18-29,7-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,7-2015,S,F,2.623,0.752,3
Lebanon,lbn,Western Asia,18-29,9-2015,F,M,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,9-2015,S,M,2.623,0.752,2
Lebanon,lbn,Western Asia,18-29,9-2015,S,F,2.623,0.752,1
Lebanon,lbn,Western Asia,18-29,1-2015,S,M,2.623,0.752,2
Lebanon,lbn,Western Asia,18-29,3-2017,F,F,2.782,0.757,2
Lebanon,lbn,Western Asia,18-29,3-2017,S,M,2.782,0.757,1
Lebanon,lbn,Western Asia,18-29,5-2018,S,M,2.778,0.757,3
Lebanon,lbn,Western Asia,18-29,5-2018,S,F,2.778,0.757,2
Lebanon,lbn,Western Asia,0-8,10-2015,F,M,2.623,0.752,1
Lebanon,lbn,Western Asia,0-8,10-2015,F,F,2.623,0.752,3
Lebanon,lbn,Western Asia,0-8,10-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,0-8,5-2016,F,M,2.752,0.753,3
Lebanon,lbn,Western Asia,0-8,7-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,10-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,8-2018,F,M,2.778,0.757,2
Lebanon,lbn,Western Asia,0-8,8-2018,F,F,2.778,0.757,2
Lebanon,lbn,Western Asia,0-8,7-2016,S,M,2.752,0.753,2
Lebanon,lbn,Western Asia,0-8,2-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,2-2018,F,F,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,11-2018,F,M,2.778,0.757,3
Lebanon,lbn,Western Asia,0-8,6-2015,F,F,2.623,0.752,2
Lebanon,lbn,Western Asia,0-8,2-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,0-8,4-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,4-2018,F,F,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,12-2016,F,M,2.752,0.753,3
Lebanon,lbn,Western Asia,0-8,12-2016,F,F,2.752,0.753,1
Lebanon,lbn,Western Asia,0-8,5-2015,F,F,2.623,0.752,1
Lebanon,lbn,Western Asia,0-8,2-2016,F,M,2.752,0.753,2
Lebanon,lbn,Western Asia,0-8,2-2016,S,F,2.752,0.753,2
Lebanon,lbn,Western Asia,0-8,10-2016,F,M,2.752,0.753,1
Lebanon,lbn,Western Asia,0-8,10-2016,F,F,2.752,0.753,1
Lebanon,lbn,Western Asia,0-8,10-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,0-8,7-2017,F,M,2.782,0.757,1
Lebanon,lbn,Western Asia,0-8,9-2017,F,M,2.782,0.757,2
Lebanon,lbn,Western Asia,0-8,9-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,0-8,3-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,3-2018,F,F,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,8-2017,F,M,2.782,0.757,3
Lebanon,lbn,Western Asia,0-8,7-2015,F,M,2.623,0.752,2
Lebanon,lbn,Western Asia,0-8,7-2015,F,F,2.623,0.752,2
Lebanon,lbn,Western Asia,0-8,10-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,0-8,9-2015,S,F,2.623,0.752,1
Lebanon,lbn,Western Asia,0-8,5-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,0-8,3-2017,F,M,2.782,0.757,1
Lebanon,lbn,Western Asia,0-8,3-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,0-8,8-2016,F,M,2.752,0.753,1
Lebanon,lbn,Western Asia,0-8,8-2016,F,F,2.752,0.753,3
Lebanon,lbn,Western Asia,0-8,5-2017,F,M,2.782,0.757,1
Lebanon,lbn,Western Asia,0-8,5-2017,F,F,2.782,0.757,4
Lebanon,lbn,Western Asia,30-49,10-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,30-49,6-2016,F,M,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,6-2016,F,F,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,6-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,6-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,5-2016,F,M,2.752,0.753,2
Lebanon,lbn,Western Asia,30-49,5-2016,F,F,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,5-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,6-2015,F,M,2.623,0.752,2
Lebanon,lbn,Western Asia,30-49,6-2015,F,F,2.623,0.752,1
Lebanon,lbn,Western Asia,30-49,6-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,30-49,1-2017,F,M,2.782,0.757,1
Lebanon,lbn,Western Asia,30-49,1-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,30-49,1-2017,S,M,2.782,0.757,3
Lebanon,lbn,Western Asia,30-49,4-2016,S,M,2.752,0.753,3
Lebanon,lbn,Western Asia,30-49,10-2018,S,M,2.778,0.757,3
Lebanon,lbn,Western Asia,30-49,10-2018,S,F,2.778,0.757,1
Lebanon,lbn,Western Asia,30-49,11-2015,S,M,2.623,0.752,1
Lebanon,lbn,Western Asia,30-49,2-2017,F,M,2.782,0.757,2
Lebanon,lbn,Western Asia,30-49,2-2017,F,F,2.782,0.757,1
Lebanon,lbn,Western Asia,30-49,9-2016,S,M,2.752,0.753,2
Lebanon,lbn,Western Asia,30-49,9-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,7-2016,F,M,2.752,0.753,3
Lebanon,lbn,Western Asia,30-49,7-2016,F,F,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,7-2016,S,F,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,4-2017,F,M,2.782,0.757,2
Lebanon,lbn,Western Asia,30-49,4-2017,F,F,2.782,0.757,2
Lebanon,lbn,Western Asia,30-49,6-2018,F,M,2.778,0.757,2
Lebanon,lbn,Western Asia,30-49,6-2018,F,F,2.778,0.757,3
Lebanon,lbn,Western Asia,30-49,6-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,30-49,2-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,30-49,2-2018,S,M,2.778,0.757,1
Lebanon,lbn,Western Asia,30-49,1-2016,F,M,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,1-2016,S,M,2.752,0.753,1
Lebanon,lbn,Western Asia,30-49,11-2018,F,M,2.778,0.757,1
Lebanon,lbn,Western Asia,30-49,11-2018,F,F,2.778,0.757,1
Lebanon,lbn,Western Asia,30-49,11-2018,S,F,2.778,0.757,2
